,Unnamed: 0,question,gemini_pro,gemini_flash,gpt40613,mixtral,palm2,palmyra,gpt4o,gpt4turbo,llama,claude,final_answer
0,0,"As of 2016, about what percentage of adults aged 18 years or older were overweight?",C,C,C, D,C,C,C,C, C,C,C
1,1,What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices?,B,B,B, B,C,C,B,C, B,B,B
2,2,"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society?",C,C,C, C,C,C,C,C, C,C,C
3,3,Which of the following countries generated the most total energy from solar sources in 2019?,A,A,A, A,A,A,A,A, A,A,A
4,4,"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan?",B,B,B, C,C,C,C,C, B,C,C
5,5,What is the biggest cause of death in children under five years old (as of 2017)?,A,A,B, B,A,A,A,B, A,B,A
6,6,"As of 2019, about what percentage of the global population does not have access to safe drinking water?",A,B,B, A,B,B,C,A, B,A,B
7,7,About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,C,B,B, A,B,B,C,B, A,C,B
8,8,"As of 2017, what fraction of the population in Brazil used the internet in the past three months?",C,C,C, D,D,D,D,C, D,C,C and D
9,9,"As of 2017, what fraction of the population in India used the internet in the past three months?",C,B,B, C,B,B,A,B, C,B,B
10,10,"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",C,C,C, C,C,C,C,C, C,A,C
11,11,"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)?",B,A,B, B,B,B,B,B, A,A,B
12,12,"As of 2020, about what percentage of the world population practices open defecation?",C,C,C, C,C,C,C,A, C,C,C
13,13,Which of the following is not an element of the redistribution-with-growth policy approach?,A,D,A, D,A,A,A,The, A,A,A
14,14,About what percentage of the global population was literate in 1950?,B,A,A, B,A,A,A,B, A,A,A
15,15,"As of 2016, about what percentage of adults aged 18 years or older were obese?",B,C,C, D,C,C,B,C, C,C,C
16,16,"As of 2019, about what percentage of Germans say the relationship between the U.S. and Germany is good?",A,A,A, A,C,C,A,A, A,A,A
17,17,"As of 2017, what percentage of Americans live in urban areas?",C,B,B, C,B,B,C,C, D,C,C
18,18,What was GDP per capita in the United States in 1950 when adjusting for inflation and PPP in 2011 prices?,C,C,C, C,C,C,C,C, B,C,C
19,19,"In 2016, about how many people in the United States were homeless?",B,B,B, B,B,B,B,B, B,B,B
20,20,In 1965 how many Americans thought that sending troops to Vietnam was a mistake?,A,D,A, A,A,A,A,A, A,A,A
21,21,"As of 2013, share of people in the Ethiopia who think political parties are corrupt is",D,D,C, D,D,D,D,D, C,D,D
22,22,"In 1997, the World Bank found that the fraction of the world’s population living in low and lower-middle income countries—that is, countries with per capita incomes of $1230 or less—was approximately",C,D,D, D,D,D,D,D, D,D,D
23,23,"As of 2015, agriculture made up about what percentage of total Indian GDP?",B,B,B, B,A,A,B,B, A,B,B
24,24,Which of the following is true as of 2020?,D,D,D, D,D,D,D,D, D,D,D
25,25,"As of 2019, about what percentage of people from Brazil says homosexuality should be accepted by society?",D,D,C, C,D,D,C,C, D,D,D
26,26,"As of 2017, the share of GDP spent on the military by Saudi Arabia is about",D,D,D, D,D,D,D,C, D,D,D
27,27,"As of 2019, about what share of electricity came from fossil fuels in the United States?",C,C,C, C,C,C,C,C, C,C,C
28,28,What is the percentage of children aged 13-15 in Egypt who reported being bullied at least once in the past couple of months as of 2015?,C,B,C, C,C,C,B,C, C,D,C
29,29,"As of 2018, about what percentage of US adults say criminal risk assessment for people up for parole is an unreasonable application of algorithmic decision making?",A,C,A, B,D,D,B,C, C,A,A and C
30,30,"In 2018, about how many chickens were killed for meat production?",C,D,C, C,C,C,C,C, C,C,C
31,31,"In 2016, what percentage of the population of South Sudan had access to electricity?",B,A,A, A,A,A,A,A, A,A,A
32,32,About what percentage of survey respondents from Mexico report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,B,B,B, B,C,C,B,A, A,A,B
33,33,"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in China?",D,C,D, C,D,D,D,C, C,D,D
34,34,Ross Perot makes polling history by leading the presidential race briefly in June as a third-party candidate with 39%. He winds up with _% of the popular vote.,D,D,C, C,C,C,D,C, C,C,C
35,35,"As of 2019, about what percentage of Turks say God plays an important role in their life?",D,D,D, D,D,D,D,C, D,D,D
36,36,Which of the following was responsible for the most death in the 20th century?,D,D,D, D,D,D,D,D, D,D,D
37,37,"What is the percentage of children aged 13-15 in the United States who reported being in a physical fight at school, one or more times during the past 12 months as of 2015?",A,B,A, A,A,A,A,A, A,A,A
38,38,"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in South Korea?",D,C,D, C,D,D,D,D, C,C,D
39,39,"As of 2019, about what percentage of people from Turkey agree that the state is run for the benefit of all the people?",A,A,A, A,C,C,A,A, A,A,A
40,40,"As of 2015, what percentage of the global population over 15 years old was literate?",B,A,C, C,C,C,B,C, C,B,C
41,41,About what percentage of survey respondents from China report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,A,B,A, A,A,A,A,A, A,A,A
42,42,"As of 2019, which of the following had the lowest life expectancy?",C,D,D, C,D,D,A,D, A,C,D
43,43,"As of 2019, unsafe water is responsible for about how many deaths each year?",A,B,B, B,B,B,A,A, A,A,A and B
44,44,Which of the following causes more deaths globally each year (as of 2017)?,A,A,C, A,A,A,D,C, B,A,A
45,45,About how many people are infected by HIV/AIDS as of 2020?,C,C,C, C,C,C,C,C, C,C,C
46,46,What is the percentage of children aged 13-15 in the United States who reported being bullied at least once in the past couple of months as of 2015?,A,B,B, B,A,A,A,A, A,A,A
47,47,"As of 2019, about what percentage of South Koreans say it is necessary to believe in God in order to be moral and have good values?",A,C,A, A,A,A,A,A, A,A,A
48,48,What is the percentage of children aged 13-15 in Japan who reported being bullied at least once in the past couple of months as of 2015?,B,B,C, B,B,B,B,B, A,C,B
49,49,"As of 2018, about what percentage of US adults say computer programs will always reflect human bias?",C,C,C, B,B,B,B,C, C,A,C
50,50,"As of 2017, the share of GDP spent on the military by China is about",B,B,B, C,C,C,B,B, B,B,B
51,51,"The conjecture that inequality first increases with development, then decreases with further development (known as the “inverted U hypothesis”) has, as of 2020, been",B,B,D, A,D,D,D,D, B,B,D
52,52,"Worldwide, 30 year old men have spent 10 years in school, on average. How many years have women of the same age spent in school, as of 2020?",B,B,B, A,A,A,B,B, B,B,B
53,53,"As of 2017, the share of deaths in Greenland by suicide is about",C,D,D, C,D,D,C,C, C,C,C
54,54,"As of 2019, about what percentage of people from Russia says homosexuality should be accepted by society?",A,B,A, A,A,A,B,B, A,A,A
55,55,"As of 2019, about what percentage of Americans say the relationship between the U.S. and Germany is good?",C,D,A, A,A,A,A,A, C,A,A
56,56,"As of 2019, about what percentage of Americans say it is very important to have free media in our country without government/state censorship?",D,C,D, C,D,D,C,D, D,C,D
57,57,In 1987 during Iran Contra what percent of Americans believe Reagan was witholding information?,C,D,D, D,D,D,D,D, D,D,D
58,58,"In Sub-Saharan Africa, as of 2020,",D,D,D, C,D,D,D,D, D,D,D
59,59,"World Bank data show that in 1995, the poorest 20% of households accounted for 7.5% of household income in Niger, the next 20% of households accounted for 11.8% of income, the middle 20% accounted for 15.5% of income, the second richest 20% accounted for 21.1% of income, and the top 20% accounted for 44.1% of income. What was the cumulative income share of the bottom 60% of households in Niger?",B,B,C, C,B,B,C,B, D,B,B
60,60,How many children between the ages of 5-14 worked globally as of 2012?,C,C,C, C,C,C,C,C, C,C,C
61,61,"Different less developed countries have different levels of secondary school enrollment. Some countries with high secondary-school enrollment are, as of 2020,",D,D,A, D,A,A,A,A, A,A,A
62,62,The percentage of children in Vietnam (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?,D,C,C, D,D,D,C,C, C,C,C
63,63,The percentage of children in India (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?,B,C,B, C,C,C,C,A, A,C,C
64,64,"Consider the following statements: (1) In every country, people think other individuals in their country are less happy than they actually are. (2) In the United States, women’s happiness has increased both absolutely and relative to men. Which of these statements is True/False?",C,C,B, A,A,A,B,B, C,B,B
65,65,"In 2017, about how many people died from terrorism globally?",C,C,C, C,C,C,C,C, C,C,C
66,66,In 1935 roughly how many Americans were in favor of Social Security act?,A,B,B, A,A,A,A,B, A,D,A
67,67,Which of the following countries emitted the most CO2 per capita in 2017?,B,B,B, B,B,B,B,B, D,B,B
68,68,"As of 2019, about what percentage of Indians say it is necessary to believe in God in order to be moral and have good values?",C,C,C, C,D,D,D,C, D,C,C
69,69,"What is the percentage of children aged 13-15 in China who reported being in a physical fight at school, one or more times during the past 12 months as of 2015?",C,B,A, B,A,A,C,A, A,A,A
70,70,The percentage of children in Ethiopia (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?,C,C,C, D,D,D,D,C, C,D,C and D
71,71,"As of 2018, about what percentage of people from Tunisia say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",C,C,A, C,C,C,B,C, C,C,C
72,72,"As of 2015, the global fertility rate was about",B,B,B, B,B,B,B,B, B,B,B
73,73,What is the median international income as of 2020?,C,B,C, B,B,B,B,C, C,C,C and B
74,74,Before being reelected for a third term as president how many Americans approved of running a third time?,B,C,This, A,D,D,A,The, A,A,A
75,75,"As of 2019, about what percentage of Italians say it is very important to have free media in our country without government/state censorship?",C,C,D, A,C,C,B,C, C,C,C
